City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Port Hedland,AU,-20.32,118.57,60.8,31,0,5.82,clear sky
83,Kaitangata,NZ,-46.28,169.85,54.32,73,90,3.87,overcast clouds
84,Sitka,US,57.05,-135.33,60.8,82,90,4.7,mist
85,Muros,ES,42.78,-9.06,64.0,78,13,5.01,few clouds
86,Katsuura,JP,35.13,140.3,81.0,78,20,8.05,few clouds
87,Praia Da Vitoria,PT,38.73,-27.07,73.4,64,20,6.08,few clouds
88,Port Macquarie,AU,-31.43,152.92,59.0,78,0,1.01,clear sky
89,Port Hardy,CA,50.7,-127.42,77.0,44,75,12.75,broken clouds
90,Olinda,BR,-8.01,-34.86,77.0,83,75,13.87,shower rain
91,Carman,CA,49.5,-98.0,75.99,49,5,8.01,clear sky
92,Osmena,PH,10.52,119.93,82.98,78,100,7.9,overcast clouds
93,Samarai,PG,-10.62,150.67,77.49,75,7,12.48,clear sky
94,Provideniya,RU,64.38,-173.3,49.23,61,28,8.75,scattered clouds
95,Upernavik,GL,72.79,-56.15,42.3,68,26,13.11,scattered clouds
96,Qaanaaq,GL,77.48,-69.36,40.42,69,45,6.96,scattered clouds
97,Chuy,UY,-33.7,-53.46,51.62,83,0,7.96,clear sky
98,Tocopilla,CL,-22.09,-70.2,58.84,62,22,4.05,few clouds
99,Puerto Ayora,EC,-0.74,-90.35,69.01,91,83,3.0,broken clouds
100,Marrakesh,MA,31.63,-8.01,89.6,31,40,2.24,scattered clouds
101,Diamantina,BR,-18.25,-43.6,52.48,96,3,4.25,clear sky
102,Coari,BR,-4.08,-63.14,79.0,57,94,1.7,overcast clouds
103,Jiangyou,CN,31.77,104.72,75.65,85,100,3.53,light rain
104,Mar Del Plata,AR,-38.0,-57.56,50.0,81,100,13.87,overcast clouds
105,Dukat,RU,62.55,155.55,52.93,54,95,8.1,overcast clouds
106,Praia,CV,14.92,-23.51,80.6,78,20,4.7,few clouds
107,Vostok,RU,46.49,135.88,75.81,69,80,4.72,broken clouds
108,Surab,PK,28.49,66.26,74.61,63,7,0.81,clear sky
109,Vaini,TO,-21.2,-175.2,73.4,73,75,11.41,broken clouds
110,Raga,SS,8.46,25.68,69.91,96,100,2.98,light rain
111,Khatanga,RU,71.97,102.5,62.71,89,100,8.23,moderate rain
112,Smithers,CA,54.78,-127.17,75.2,41,40,4.7,scattered clouds
113,Saint-Georges,GD,12.06,-61.75,84.2,79,20,11.41,few clouds
114,Faanui,PF,-16.48,-151.75,78.66,81,25,11.5,light rain
115,Green River,US,41.53,-109.47,91.4,9,1,12.46,clear sky
116,Klaksvik,FO,62.23,-6.59,51.8,93,17,12.75,few clouds
117,Arman,RU,59.7,150.17,63.95,48,49,2.89,scattered clouds
118,California,US,38.3,-76.51,84.2,74,40,3.36,scattered clouds
119,Gudalur,IN,9.68,77.27,74.75,79,100,7.31,overcast clouds
120,Cumra,TR,37.57,32.77,73.4,46,0,11.41,clear sky
121,Kamyaran,IR,34.8,46.94,71.6,18,0,4.7,clear sky
122,Thompson,CA,55.74,-97.86,71.6,43,20,11.41,few clouds
123,Kapit,MY,2.02,112.93,77.65,82,97,0.36,overcast clouds
124,Baryatino,RU,54.31,34.52,54.28,96,54,11.21,broken clouds
125,Lebu,CL,-37.62,-73.65,50.94,94,28,6.13,scattered clouds
126,Victoria,HK,22.29,114.16,80.01,94,100,15.99,light rain
127,Mariel,CU,22.99,-82.75,87.01,58,2,11.01,clear sky
128,Avarua,CK,-21.21,-159.78,71.6,64,66,5.82,broken clouds
129,Chute-Aux-Outardes,CA,49.12,-68.4,71.6,68,1,11.41,clear sky
130,Cherskiy,RU,68.75,161.3,49.3,64,95,9.86,overcast clouds
131,Roma,US,43.21,-75.46,82.4,54,1,3.36,clear sky
132,Norman Wells,CA,65.28,-126.83,87.8,38,20,6.93,few clouds
133,Constitucion,CL,-35.33,-72.42,54.52,93,100,10.33,light rain
134,Belaya Gora,RU,68.53,146.42,64.49,48,62,0.87,broken clouds
135,Severo-Kurilsk,RU,50.68,156.12,56.98,75,100,8.03,overcast clouds
136,Mount Gambier,AU,-37.83,140.77,46.4,100,90,5.82,overcast clouds
137,Dunedin,NZ,-45.87,170.5,57.04,65,95,2.17,overcast clouds
138,Batagay,RU,67.63,134.63,65.89,45,57,7.92,broken clouds
139,Vuktyl,RU,63.86,57.31,51.33,97,23,6.67,few clouds
140,Bingol,TR,38.88,40.49,69.85,51,46,6.76,scattered clouds
141,Lahaina,US,20.88,-156.68,89.6,40,20,23.04,few clouds
142,Kruszwica,PL,52.68,18.33,60.01,65,40,4.92,scattered clouds
143,Chokurdakh,RU,70.63,147.92,59.63,55,86,3.47,overcast clouds
144,Ahipara,NZ,-35.17,173.17,56.89,89,100,14.03,light rain
145,Hun,LY,29.13,15.95,76.32,42,0,3.36,clear sky
146,Haines Junction,CA,60.75,-137.51,65.68,60,68,9.71,light rain
147,Vanderbijlpark,ZA,-26.71,27.84,48.99,37,0,4.12,clear sky
148,Ribeira Grande,PT,38.52,-28.7,71.69,68,9,6.71,clear sky
149,Kodiak,US,57.79,-152.41,57.2,87,90,4.7,light rain
150,Saint-Philippe,RE,-21.36,55.77,68.0,72,90,10.29,overcast clouds
151,Mount Isa,AU,-20.73,139.5,71.6,35,0,11.41,clear sky
152,Tsabong,BW,-26.02,22.4,53.76,39,0,8.63,clear sky
153,Camacha,PT,33.08,-16.33,69.8,88,75,13.87,broken clouds
154,Luderitz,NA,-26.65,15.16,71.6,21,0,2.24,clear sky
155,Ancud,CL,-41.87,-73.82,46.99,87,75,10.29,broken clouds
156,San Juan,AR,-31.54,-68.54,58.73,30,0,2.66,clear sky
157,Richards Bay,ZA,-28.78,32.04,61.12,89,0,2.86,clear sky
158,Abilene,US,32.45,-99.73,95.0,30,20,5.82,few clouds
159,Athni,IN,16.73,75.07,74.12,89,100,8.19,overcast clouds
160,Acarau,BR,-2.89,-40.12,78.37,78,15,16.71,few clouds
161,San Michele Al Tagliamento,IT,45.76,12.99,79.0,66,62,8.01,broken clouds
162,Vanimo,PG,-2.67,141.3,76.91,88,100,8.84,light rain
163,Quelimane,MZ,-17.88,36.89,66.2,88,40,3.36,scattered clouds
164,Husavik,IS,66.04,-17.34,53.6,81,40,2.75,scattered clouds
165,Paracuru,BR,-3.41,-39.03,79.0,78,57,13.0,broken clouds
166,Auki,SB,-8.77,160.7,85.96,65,11,3.83,few clouds
167,San Quintin,MX,30.48,-115.95,77.4,64,1,6.8,clear sky
168,Raudeberg,NO,61.99,5.14,60.8,87,71,5.82,broken clouds
169,Eureka,US,40.8,-124.16,69.01,47,28,3.0,scattered clouds
170,Riberalta,BO,-10.98,-66.1,78.58,43,0,2.51,clear sky
171,Beringovskiy,RU,63.05,179.32,51.03,78,100,9.51,overcast clouds
172,Evensk,RU,61.95,159.23,60.71,49,91,4.32,overcast clouds
173,Pontes E Lacerda,BR,-15.23,-59.34,77.68,32,0,5.37,clear sky
174,Rantauprapat,ID,2.1,99.83,72.82,83,100,2.06,overcast clouds
175,Calama,CL,-22.47,-68.93,59.0,3,0,9.17,clear sky
176,Bambous Virieux,MU,-20.34,57.76,71.6,78,75,14.99,shower rain
177,Mitsamiouli,KM,-11.38,43.28,76.42,76,0,10.11,clear sky
178,Carnarvon,AU,-24.87,113.63,59.0,93,0,9.17,clear sky
179,Lakshettipet,IN,18.87,79.22,79.81,83,71,4.79,broken clouds
180,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,77.32,77,51,0.63,light rain
181,Koundara,GN,12.48,-13.3,75.56,95,91,4.23,moderate rain
182,Mchinji,MW,-13.8,32.88,48.47,94,0,3.74,clear sky
183,Vila Franca Do Campo,PT,37.72,-25.43,69.8,73,40,2.24,scattered clouds
184,Viedma,AR,-40.81,-63.0,57.99,59,88,10.0,overcast clouds
185,Shurugwi,ZW,-19.67,30.01,43.39,88,0,3.04,clear sky
186,Linhares,BR,-19.39,-40.07,66.6,87,22,3.4,light rain
187,East London,ZA,-33.02,27.91,60.53,64,0,10.92,clear sky
188,Porto Empedocle,IT,37.29,13.53,81.0,43,0,4.9,clear sky
189,Rovaniemi,FI,66.5,25.72,53.6,81,90,6.93,light intensity shower rain
190,Tucuma,BR,-0.18,-50.05,78.82,87,45,9.44,light rain
191,Yaan,NG,7.38,8.57,73.13,88,93,4.92,overcast clouds
192,Broome,US,42.25,-75.83,79.0,50,1,3.36,clear sky
193,Talca,CL,-35.43,-71.67,55.0,100,90,8.05,light rain
194,Zhigansk,RU,66.77,123.37,60.67,52,0,15.84,clear sky
195,Zelenoborsk,RU,61.47,64.03,54.41,80,84,4.45,broken clouds
196,Ust-Tsilma,RU,65.44,52.15,45.84,94,2,3.91,clear sky
197,Yecla,ES,38.61,-1.11,82.0,46,12,4.0,few clouds
198,Hamilton,US,39.18,-84.53,75.2,83,90,8.05,heavy intensity rain
199,Mahebourg,MU,-20.41,57.7,71.6,78,75,14.99,shower rain
200,Alappuzha,IN,9.49,76.33,78.12,86,100,8.84,light rain
201,Killybegs,IE,54.63,-8.45,52.0,94,91,4.0,light rain
202,Ekhabi,RU,53.51,142.97,52.41,95,100,21.25,moderate rain
203,Nikolayevka,RU,53.13,47.2,56.43,92,84,9.78,broken clouds
204,Laguna,US,38.42,-121.42,97.0,17,5,5.82,clear sky
205,Rocha,UY,-34.48,-54.33,50.74,87,32,8.39,scattered clouds
206,Ca Mau,VN,9.18,105.15,79.14,88,100,7.23,overcast clouds
207,Mersin,TR,36.86,34.65,80.6,94,40,2.24,scattered clouds
208,Aklavik,CA,68.22,-135.01,66.2,72,40,10.29,scattered clouds
209,Vao,NC,-22.67,167.48,66.33,71,21,17.07,few clouds
210,Yueyang,CN,29.33,113.09,84.63,79,87,6.78,overcast clouds
211,Tuxtla,MX,16.75,-93.12,84.2,62,75,16.11,broken clouds
212,Berlevag,NO,70.86,29.09,48.38,87,100,6.38,overcast clouds
213,Port Elizabeth,ZA,-33.92,25.57,53.6,100,0,6.93,clear sky
214,Acapulco,MX,16.86,-99.89,87.8,74,40,9.17,scattered clouds
215,Zakamensk,RU,50.37,103.29,55.87,74,100,2.98,overcast clouds
216,Shitanjing,CN,39.23,106.34,76.93,16,1,6.73,clear sky
217,Stepnogorsk,KZ,52.35,71.89,68.11,56,2,6.51,clear sky
218,Kruisfontein,ZA,-34.0,24.73,51.48,72,0,8.19,clear sky
219,Quatre Cocos,MU,-20.21,57.76,71.6,78,75,14.99,shower rain
220,Russell,US,32.35,-85.2,89.6,59,40,6.93,scattered clouds
221,Totskoye,RU,52.52,52.76,67.53,46,76,8.43,broken clouds
222,Chivilcoy,AR,-34.9,-60.02,62.01,78,96,5.99,overcast clouds
223,Artyom,AZ,40.47,50.33,78.8,74,20,6.93,few clouds
224,Zapolyarnyy,RU,69.42,30.81,46.4,93,75,10.29,shower rain
225,Hurghada,EG,27.26,33.81,91.4,24,0,8.05,clear sky
226,Umtata,ZA,-31.59,28.78,46.4,87,0,1.12,clear sky
227,Suzhou,CN,31.31,120.62,84.0,79,66,12.37,broken clouds
228,Vila Velha,BR,-20.33,-40.29,68.0,88,90,3.36,overcast clouds
229,Masvingo,ZW,-20.06,30.83,49.57,77,0,4.25,clear sky
230,Rennes,FR,48.17,-1.67,60.8,82,95,8.05,overcast clouds
231,Bumba,CD,2.18,22.47,72.3,93,100,2.91,light rain
232,Bundaberg,AU,-24.85,152.35,68.0,64,7,10.29,clear sky
233,Qazvin,IR,36.28,50.0,75.2,44,0,6.93,clear sky
234,Vegreville,CA,53.5,-112.05,76.23,67,0,14.03,clear sky
235,Casper,US,42.87,-106.31,82.99,26,1,5.82,light rain
236,Teya,RU,60.38,92.63,59.88,76,93,1.79,overcast clouds
237,Glendive,US,47.11,-104.71,82.0,34,1,13.87,clear sky
238,Lata,PT,40.16,-8.33,64.0,93,7,3.0,clear sky
239,Zyryanka,RU,65.75,150.85,63.95,49,0,4.16,clear sky
240,Sibolga,ID,1.74,98.78,75.96,80,100,3.51,overcast clouds
241,Jijiga,ET,9.35,42.8,62.19,76,78,14.74,broken clouds
242,Stromness,GB,58.97,-3.3,53.6,93,60,1.12,broken clouds
243,Taltal,CL,-25.4,-70.48,57.13,73,22,3.06,few clouds
244,Nome,US,64.5,-165.41,62.01,72,90,8.05,overcast clouds
245,Saint George,US,37.1,-113.58,109.4,7,1,19.46,clear sky
246,Nyurba,RU,63.28,118.33,65.97,61,0,4.61,clear sky
247,Othaya,KE,-0.57,36.96,53.01,87,92,5.99,overcast clouds
248,Belyy Yar,RU,53.6,91.39,57.2,93,81,2.24,broken clouds
249,Abeokuta,NG,7.15,3.35,77.0,88,20,2.24,few clouds
250,Asyut,EG,27.18,31.18,84.2,51,0,4.7,clear sky
251,Omboue,GA,-1.57,9.26,73.44,78,84,6.13,broken clouds
252,Rio Gallegos,AR,-51.62,-69.22,32.0,93,65,1.12,broken clouds
253,Kinablangan,PH,7.69,126.55,82.13,73,100,7.09,light rain
254,Listvyagi,RU,53.68,86.95,56.97,84,99,3.42,overcast clouds
255,Verkhoyansk,RU,67.54,133.38,68.5,44,1,7.81,clear sky
256,Neenah,US,44.19,-88.46,78.8,29,40,3.4,scattered clouds
257,Kalawit,PH,8.07,122.52,79.83,78,99,3.51,overcast clouds
258,San Jose,US,37.34,-121.89,84.2,44,75,12.75,broken clouds
259,Hasaki,JP,35.73,140.83,81.0,83,75,11.41,broken clouds
260,Aqtobe,KZ,50.28,57.21,62.6,48,7,8.16,clear sky
261,Talnakh,RU,69.49,88.4,60.8,72,62,8.95,broken clouds
262,Brooklyn,US,40.65,-73.95,82.4,58,1,10.29,clear sky
263,Harrison,US,30.41,-89.04,89.6,62,20,6.93,few clouds
264,Mvuma,ZW,-19.28,30.53,46.36,82,0,7.4,clear sky
265,Qasigiannguit,GL,68.82,-51.19,46.4,87,91,2.24,overcast clouds
266,Coquimbo,CL,-29.95,-71.34,53.6,87,21,2.24,few clouds
267,Skjervoy,NO,70.03,20.97,53.26,87,7,7.52,clear sky
268,Hervey Bay,AU,-25.3,152.85,64.0,83,42,5.99,scattered clouds
269,La Paz,BO,-16.5,-68.15,50.0,34,26,2.24,scattered clouds
270,Maldonado,UY,-34.67,-54.92,53.01,87,64,8.05,broken clouds
271,Valparaiso,CL,-33.04,-71.63,55.4,82,20,3.36,few clouds
272,Nabire,ID,-3.37,135.48,76.62,88,99,0.96,light rain
273,Peniche,PT,39.36,-9.38,66.0,89,0,5.01,clear sky
274,Flin Flon,CA,54.77,-101.86,75.2,33,20,5.82,few clouds
275,Zalantun,CN,48.0,122.72,75.72,72,95,3.02,light rain
276,Cayenne,GF,4.93,-52.33,80.6,88,93,2.24,overcast clouds
277,Yanam,IN,16.73,82.22,81.01,83,21,4.72,few clouds
278,Abalak,RU,58.13,68.59,60.03,97,82,3.24,broken clouds
279,Buenos Aires,AR,-34.61,-58.38,63.0,87,82,5.82,broken clouds
